"user","user_id"
"CaulfieldTim","x2188785559"
"CaulfieldTim","x347522011"
"CaulfieldTim","x800459756292882432"
"CaulfieldTim","x2364287598"
"CaulfieldTim","x2462436602"
"CaulfieldTim","x4452865653"
"CaulfieldTim","x274374700"
"CaulfieldTim","x35323738"
"CaulfieldTim","x20474878"
"CaulfieldTim","x21900557"
"CaulfieldTim","x702962141800878081"
"CaulfieldTim","x356788303"
"CaulfieldTim","x174151902"
"CaulfieldTim","x555220899"
"CaulfieldTim","x1142627778"
"CaulfieldTim","x17735875"
"CaulfieldTim","x1031861557"
"CaulfieldTim","x31313291"
"CaulfieldTim","x85371279"
"CaulfieldTim","x1284813487"
"CaulfieldTim","x525013928"
"CaulfieldTim","x34484622"
"CaulfieldTim","x2423535042"
"CaulfieldTim","x38024654"
"CaulfieldTim","x2860928254"
"CaulfieldTim","x14500190"
"CaulfieldTim","x18177126"
"CaulfieldTim","x148192924"
"CaulfieldTim","x3282060414"
"CaulfieldTim","x851415276"
"CaulfieldTim","x135254970"
"CaulfieldTim","x1087817840739012608"
"CaulfieldTim","x1248057930940846082"
"CaulfieldTim","x21258217"
"CaulfieldTim","x65970675"
"CaulfieldTim","x1336381549374267393"
"CaulfieldTim","x1158097772"
"CaulfieldTim","x1243289106320416768"
"CaulfieldTim","x2353701600"
"CaulfieldTim","x168662895"
"CaulfieldTim","x1035757529224097792"
"CaulfieldTim","x41859177"
"CaulfieldTim","x6718912"
"CaulfieldTim","x603683294"
"CaulfieldTim","x836833110"
"CaulfieldTim","x18478452"
"CaulfieldTim","x18209478"
"CaulfieldTim","x795138728218021889"
"CaulfieldTim","x1183400927455256578"
"CaulfieldTim","x18490726"
"CaulfieldTim","x370797913"
